store_name,store_id,date,total_signals,unique_visits,student,honda,addidas,retired,bmw,employed,h_&_m,mercedes-benz,job_seeking,tommy_helfinger,apple,male,female,low_income,middle_income,high_income
Rewe,place_159,2021-01-14,4,2,1,3,0,0,0,0,0,0,0,0,0,3,1,1,3,0
Kaufland,place_218,2021-01-07,4,3,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,1
Kaufland,place_226,2021-01-09,4,4,0,0,2,0,0,1,0,0,1,0,0,4,0,1,1,2
Rewe,place_159,2021-01-09,4,3,2,1,0,0,0,0,0,0,0,0,0,1,3,2,2,0
Kaufland,place_226,2021-01-02,4,3,0,1,0,0,0,1,0,0,0,0,0,4,0,0,3,1
Rewe,place_161,2021-01-04,4,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_171,2021-01-19,4,2,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2
Kaufland,place_217,2021-01-21,4,4,1,0,0,0,1,0,0,0,0,1,0,4,0,2,2,0
Rewe,place_158,2021-01-19,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_135,2021-01-15,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0
Kaufland,place_217,2021-01-20,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_135,2021-01-07,4,3,0,2,0,1,0,0,0,2,0,0,0,4,0,0,4,0
Aldi,place_134,2021-01-06,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_132,2021-01-21,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_176,2021-01-12,4,2,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0
Rewe,place_176,2021-01-14,4,3,2,0,0,1,0,1,0,0,2,0,0,3,1,0,3,1
Rewe,place_176,2021-01-15,4,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,0
Aldi,place_132,2021-01-08,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_178,2021-01-06,4,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2
Lexus,place_245,2021-01-21,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0
Lexus,place_245,2021-01-19,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
Kaufland,place_225,2021-01-19,4,4,1,0,0,1,2,1,0,1,0,0,0,3,1,1,2,1
Rewe,place_156,2021-01-16,4,2,0,0,2,0,0,2,0,0,0,0,0,4,0,2,2,0
Kaufland,place_219,2021-01-07,4,2,0,2,0,0,0,2,0,0,0,0,2,4,0,0,4,0
Kaufland,place_221,2021-01-21,4,4,0,0,0,0,0,0,0,0,1,0,0,4,0,1,2,1
McDonald's,place_4,2021-01-21,4,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_97,2021-01-18,4,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,2
Mercedes,place_232,2021-01-20,4,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_138,2021-01-02,4,4,0,0,1,0,0,1,0,0,1,0,0,4,0,0,3,1
Rewe,place_138,2021-01-07,4,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,1
Burger King,place_42,2021-01-01,4,1,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Rewe,place_138,2021-01-15,4,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4
Kaufland,place_223,2021-01-08,4,4,1,0,0,0,0,0,0,1,1,0,0,4,0,0,1,3
McDonald's,place_20,2021-01-10,4,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_138,2021-01-16,4,4,0,1,0,1,0,0,0,1,0,0,0,3,1,1,3,0
Kaufland,place_223,2021-01-05,4,4,0,0,0,0,1,0,0,0,2,0,0,4,0,3,1,0
Kaufland,place_223,2021-01-02,4,4,0,0,0,1,0,1,0,0,0,0,0,4,0,1,3,0
Aldi,place_85,2021-01-11,4,1,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0
Kaufland,place_225,2021-01-12,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
Aldi,place_99,2021-01-21,4,3,1,0,0,1,0,0,0,0,0,0,0,4,0,1,3,0
Kaufland,place_213,2021-01-06,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2
Kaufland,place_221,2021-01-02,4,4,0,0,0,2,1,0,1,0,0,0,0,4,0,0,3,1
Rewe,place_148,2021-01-05,4,3,0,0,1,0,0,0,0,0,0,0,2,4,0,0,4,0
Rewe,place_148,2021-01-09,4,4,0,1,0,0,1,0,0,0,1,0,1,4,0,0,3,1
Kaufland,place_227,2021-01-21,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0
Kaufland,place_220,2021-01-12,4,4,0,0,1,0,1,0,0,0,0,0,0,4,0,1,3,0
Kaufland,place_220,2021-01-09,4,3,0,0,0,0,0,0,1,2,0,0,0,4,0,3,1,0
Rewe,place_148,2021-01-11,4,3,2,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0
Aldi,place_79,2021-01-13,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Kaufland,place_220,2021-01-02,4,4,1,1,0,0,0,0,0,0,0,0,0,4,0,1,3,0
Rewe,place_153,2021-01-07,4,2,0,2,0,0,0,0,0,0,0,0,0,4,0,4,0,0
Rewe,place_153,2021-01-18,4,2,0,0,0,0,0,3,0,0,3,0,0,4,0,3,1,0
Kaufland,place_225,2021-01-14,4,3,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,1
Kaufland,place_227,2021-01-06,4,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0
McDonald's,place_22,2021-01-12,4,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,1,3
Rewe,place_200,2021-01-18,4,1,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0
Rewe,place_210,2021-01-14,4,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0
Aldi,place_109,2021-01-20,4,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_210,2021-01-16,4,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_199,2021-01-02,4,3,1,0,0,0,1,0,0,1,0,0,0,4,0,0,1,3
Rewe,place_205,2021-01-19,4,3,0,2,0,0,0,0,0,1,0,0,0,4,0,2,2,0
Rewe,place_210,2021-01-21,4,2,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_191,2021-01-20,4,2,0,0,3,0,0,0,0,0,1,0,0,4,0,0,1,3
Rewe,place_193,2021-01-15,4,3,0,2,1,0,0,1,0,0,0,0,0,4,0,3,0,1
Rewe,place_191,2021-01-14,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
Rewe,place_138,2021-01-18,3,3,0,0,1,0,0,1,0,0,0,0,0,3,0,0,2,1
Rewe,place_201,2021-01-04,3,1,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0
Kaufland,place_226,2021-01-07,3,3,0,1,1,1,0,0,0,0,0,0,0,2,1,0,2,1
Rewe,place_161,2021-01-18,3,2,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0
Kaufland,place_226,2021-01-08,3,3,0,0,0,1,0,0,0,1,0,0,0,3,0,0,2,1
Kaufland,place_226,2021-01-12,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1
Kaufland,place_226,2021-01-11,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1
Rewe,place_200,2021-01-16,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0
Kaufland,place_226,2021-01-15,3,2,0,0,0,0,0,0,0,2,0,0,1,3,0,0,2,1
Rewe,place_148,2021-01-19,3,3,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2,1
Kaufland,place_226,2021-01-18,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1
Kaufland,place_226,2021-01-19,3,3,0,0,0,0,0,1,0,0,0,1,0,3,0,2,1,0
Rewe,place_149,2021-01-12,3,3,1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,0
Aldi,place_109,2021-01-19,3,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0
Rewe,place_196,2021-01-05,3,1,0,3,3,0,0,3,0,0,0,0,0,3,0,0,3,0
Rewe,place_200,2021-01-09,3,2,0,2,0,0,2,0,0,0,0,0,0,3,0,3,0,0
Kaufland,place_225,2021-01-21,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
Aldi,place_109,2021-01-13,3,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0
McDonald's,place_31,2021-01-01,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
Rewe,place_160,2021-01-06,3,3,1,1,0,0,0,0,0,0,1,0,0,3,0,3,0,0
McDonald's,place_4,2021-01-06,3,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0
Kaufland,place_224,2021-01-04,3,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,2,1
Rewe,place_205,2021-01-05,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
Rewe,place_193,2021-01-08,3,2,0,3,0,0,0,1,0,0,0,1,0,3,0,2,0,1
Kaufland,place_213,2021-01-05,3,2,0,2,0,0,0,2,0,0,0,0,0,3,0,1,2,0
Kaufland,place_224,2021-01-11,3,3,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1
Aldi,place_60,2021-01-21,3,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0
Kaufland,place_224,2021-01-19,3,3,0,0,0,0,0,0,0,1,1,0,0,2,1,1,2,0
McDonald's,place_32,2021-01-11,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0
Kaufland,place_225,2021-01-02,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1
Rewe,place_193,2021-01-02,3,2,1,2,0,0,0,0,0,1,0,0,0,3,0,2,1,0
Aldi,place_81,2021-01-18,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
